词语      十进制  符号化反转二进制  二进制       反转二进制 
--------  ------  ----------------  -----------  -----------
abandon        0  ○○○○○○○○○○○       00000000000  00000000000
ability        1  ●○○○○○○○○○○       00000000001  10000000000
able           2  ○●○○○○○○○○○       00000000010  01000000000
about          3  ●●○○○○○○○○○       00000000011  11000000000
above          4  ○○●○○○○○○○○       00000000100  00100000000
absent         5  ●○●○○○○○○○○       00000000101  10100000000
absorb         6  ○●●○○○○○○○○       00000000110  01100000000
abstract       7  ●●●○○○○○○○○       00000000111  11100000000
absurd         8  ○○○●○○○○○○○       00000001000  00010000000
abuse          9  ●○○●○○○○○○○       00000001001  10010000000
access        10  ○●○●○○○○○○○       00000001010  01010000000
accident      11  ●●○●○○○○○○○       00000001011  11010000000
account       12  ○○●●○○○○○○○       00000001100  00110000000
accuse        13  ●○●●○○○○○○○       00000001101  10110000000
achieve       14  ○●●●○○○○○○○       00000001110  01110000000
acid          15  ●●●●○○○○○○○       00000001111  11110000000
acoustic      16  ○○○○●○○○○○○       00000010000  00001000000
acquire       17  ●○○○●○○○○○○       00000010001  10001000000
across        18  ○●○○●○○○○○○       00000010010  01001000000
act           19  ●●○○●○○○○○○       00000010011  11001000000
action        20  ○○●○●○○○○○○       00000010100  00101000000
actor         21  ●○●○●○○○○○○       00000010101  10101000000
actress       22  ○●●○●○○○○○○       00000010110  01101000000
actual        23  ●●●○●○○○○○○       00000010111  11101000000
adapt         24  ○○○●●○○○○○○       00000011000  00011000000
add           25  ●○○●●○○○○○○       00000011001  10011000000
addict        26  ○●○●●○○○○○○       00000011010  01011000000
address       27  ●●○●●○○○○○○       00000011011  11011000000
adjust        28  ○○●●●○○○○○○       00000011100  00111000000
admit         29  ●○●●●○○○○○○       00000011101  10111000000
adult         30  ○●●●●○○○○○○       00000011110  01111000000
advance       31  ●●●●●○○○○○○       00000011111  11111000000
advice        32  ○○○○○●○○○○○       00000100000  00000100000
aerobic       33  ●○○○○●○○○○○       00000100001  10000100000
affair        34  ○●○○○●○○○○○       00000100010  01000100000
afford        35  ●●○○○●○○○○○       00000100011  11000100000
afraid        36  ○○●○○●○○○○○       00000100100  00100100000
again         37  ●○●○○●○○○○○       00000100101  10100100000
age           38  ○●●○○●○○○○○       00000100110  01100100000
agent         39  ●●●○○●○○○○○       00000100111  11100100000
agree         40  ○○○●○●○○○○○       00000101000  00010100000
ahead         41  ●○○●○●○○○○○       00000101001  10010100000
aim           42  ○●○●○●○○○○○       00000101010  01010100000
air           43  ●●○●○●○○○○○       00000101011  11010100000
airport       44  ○○●●○●○○○○○       00000101100  00110100000
aisle         45  ●○●●○●○○○○○       00000101101  10110100000
alarm         46  ○●●●○●○○○○○       00000101110  01110100000
album         47  ●●●●○●○○○○○       00000101111  11110100000
alcohol       48  ○○○○●●○○○○○       00000110000  00001100000
alert         49  ●○○○●●○○○○○       00000110001  10001100000
alien         50  ○●○○●●○○○○○       00000110010  01001100000
all           51  ●●○○●●○○○○○       00000110011  11001100000
alley         52  ○○●○●●○○○○○       00000110100  00101100000
allow         53  ●○●○●●○○○○○       00000110101  10101100000
almost        54  ○●●○●●○○○○○       00000110110  01101100000
alone         55  ●●●○●●○○○○○       00000110111  11101100000
alpha         56  ○○○●●●○○○○○       00000111000  00011100000
already       57  ●○○●●●○○○○○       00000111001  10011100000
also          58  ○●○●●●○○○○○       00000111010  01011100000
alter         59  ●●○●●●○○○○○       00000111011  11011100000
always        60  ○○●●●●○○○○○       00000111100  00111100000
amateur       61  ●○●●●●○○○○○       00000111101  10111100000
amazing       62  ○●●●●●○○○○○       00000111110  01111100000
among         63  ●●●●●●○○○○○       00000111111  11111100000
amount        64  ○○○○○○●○○○○       00001000000  00000010000
amused        65  ●○○○○○●○○○○       00001000001  10000010000
analyst       66  ○●○○○○●○○○○       00001000010  01000010000
anchor        67  ●●○○○○●○○○○       00001000011  11000010000
ancient       68  ○○●○○○●○○○○       00001000100  00100010000
anger         69  ●○●○○○●○○○○       00001000101  10100010000
angle         70  ○●●○○○●○○○○       00001000110  01100010000
angry         71  ●●●○○○●○○○○       00001000111  11100010000
animal        72  ○○○●○○●○○○○       00001001000  00010010000
ankle         73  ●○○●○○●○○○○       00001001001  10010010000
announce      74  ○●○●○○●○○○○       00001001010  01010010000
annual        75  ●●○●○○●○○○○       00001001011  11010010000
another       76  ○○●●○○●○○○○       00001001100  00110010000
answer        77  ●○●●○○●○○○○       00001001101  10110010000
antenna       78  ○●●●○○●○○○○       00001001110  01110010000
antique       79  ●●●●○○●○○○○       00001001111  11110010000
anxiety       80  ○○○○●○●○○○○       00001010000  00001010000
any           81  ●○○○●○●○○○○       00001010001  10001010000
apart         82  ○●○○●○●○○○○       00001010010  01001010000
apology       83  ●●○○●○●○○○○       00001010011  11001010000
appear        84  ○○●○●○●○○○○       00001010100  00101010000
apple         85  ●○●○●○●○○○○       00001010101  10101010000
approve       86  ○●●○●○●○○○○       00001010110  01101010000
april         87  ●●●○●○●○○○○       00001010111  11101010000
arch          88  ○○○●●○●○○○○       00001011000  00011010000
arctic        89  ●○○●●○●○○○○       00001011001  10011010000
area          90  ○●○●●○●○○○○       00001011010  01011010000
arena         91  ●●○●●○●○○○○       00001011011  11011010000
argue         92  ○○●●●○●○○○○       00001011100  00111010000
arm           93  ●○●●●○●○○○○       00001011101  10111010000
armed         94  ○●●●●○●○○○○       00001011110  01111010000
armor         95  ●●●●●○●○○○○       00001011111  11111010000
army          96  ○○○○○●●○○○○       00001100000  00000110000
around        97  ●○○○○●●○○○○       00001100001  10000110000
arrange       98  ○●○○○●●○○○○       00001100010  01000110000
arrest        99  ●●○○○●●○○○○       00001100011  11000110000
arrive       100  ○○●○○●●○○○○       00001100100  00100110000
arrow        101  ●○●○○●●○○○○       00001100101  10100110000
